date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:35	25108/25108	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20Mar%202023%2011:12:14%20GMT	https://ikwhat.com/repository-016/thara/index-6.html	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/index-6.html	(from )
19:41:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Feb%202024%2018:41:38%20GMT	https://ikwhat.com/robots.txt		(from )
19:41:35	194890/194890	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2005:53:26%20GMT	https://ikwhat.com/repository-016/thara/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/assets/css/bootstrap.min.css	(from https://ikwhat.com/repository-016/thara/index-6.html)
19:41:36	1018/1018	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2005:53:26%20GMT	https://ikwhat.com/repository-016/thara/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/assets/css/owl.theme.default.min.css	(from https://ikwhat.com/repository-016/thara/index-6.html)
19:41:36	3357/3357	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2005:53:26%20GMT	https://ikwhat.com/repository-016/thara/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/assets/css/owl.carousel.min.css	(from https://ikwhat.com/repository-016/thara/index-6.html)
19:41:36	71756/71756	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2005:53:26%20GMT	https://ikwhat.com/repository-016/thara/assets/css/animate.min.css	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/assets/css/animate.min.css	(from https://ikwhat.com/repository-016/thara/index-6.html)
19:41:36	68032/68032	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2005:53:26%20GMT	https://ikwhat.com/repository-016/thara/assets/css/boxicons.min.css	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/assets/css/boxicons.min.css	(from https://ikwhat.com/repository-016/thara/index-6.html)
19:41:36	5235/5235	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2005:53:26%20GMT	https://ikwhat.com/repository-016/thara/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/assets/css/magnific-popup.min.css	(from https://ikwhat.com/repository-016/thara/index-6.html)
19:41:37	2417/2417	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2005:53:26%20GMT	https://ikwhat.com/repository-016/thara/assets/css/flaticon.css	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/assets/css/flaticon.css	(from https://ikwhat.com/repository-016/thara/index-6.html)
19:41:37	2085/2085	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2005:53:26%20GMT	https://ikwhat.com/repository-016/thara/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/thara%20service/ikwhat.com/repository-016/thara/assets/css/meanmenu.min.css	(from https://ikwhat.com/repository-016/thara/index-6.html)
